Cód.Original;Baia;Corredor;Nível;Cód.Barras
77616600;;;1;789053710343 4
20082;;;1;789847900013 2
77617650 150;;;1;789000533205 2
134APL;;;1;789018333233 2
A59600 050;;;1;789476607376 6
77787600;;;1;789053710507 0
153010;;;1;789000041038 0
A59500 050;;;1;789476607373 5
05250BRGF;;;1;289427205250 2
S59300 050;;;1;120150012335 3
S59300 100;;;1;120150012300 1
800061340100;;;1;789003033629 2
S59201 050;;;1;120150012252 3
S59210 100;;;1;120150012251 6
25645030;;;1;789537206781 1
800061341000 STD;;;1;789053713211 3
92054711;;;1;789053712978 6
00962BR;;;1;789125200962 9
800060640000;;;1;789053710163 8
97181960;;;1;789053710964 1
00962BRGP;;;1;170410010332 4
30004;;;1;789267700651 4
30001;;;1;789267700648 4
155;;;1;170370010294 2
11307 FLEX;;;1;779396032307 6
77657630 075;;;1;789053710560 5
77617630 075;;;1;789000633959 3
800060040000 STD;;;1;789003033964 4
166-9;;;1;170010010248 0
61611FI;;;1;730020191030 0
61507SCR;;;1;730020191014 0
BC218 025;;;1;789000634948 6
59707SCR;;;1;730020260884 8
97295600 STD;;;1;789053712031 8
S59500 050;;;1;120150192433 1
11811CB RV;;;1;130020190691 0
800060240000;;;1;789003034127 2
301781000 STD;;;1;789000134182 9
11616CB;;;1;730020190225 1
89476810 STD;;;1;789003034199 9
00222BAG;;;1;510410190018 6
TA7453 STD;;;1;789003034297 2
11912GV;;;1;789000234648 9
11705 GV;;;1;789000234649 6
800038440000 STD;;;1;789003034737 3
D121SX180;;;1;590270280004 7
50017730 STD;;;1;789053711456 0
11286030;;;1;789537204776 9
11026B;;;1;730020190200 8
BB238 050;;;1;789000634811 3
11811AU/GU;;;1;730020190196 4
BB238 075;;;1;789000634812 0
11611AU/GU;;;1;730020190195 7
11311GU;;;1;730020190193 3
SBB150J010;;;1;789000041006 9
BB777 075;;;1;789000634823 6
11802AU/GU;;;1;730020190188 9
11807AU/GU;;;1;730020190178 0
11806AU/GU;;;1;730020190176 6
86010604 010;;;1;789000627501 3
11620AU/GU;;;1;730020190174 2
68514311;;;1;720020280393 2
84141258;;;1;720020190166 0
54151201;;;1;720020190151 6
64134861;;;1;720020190135 6
159;;;1;691450190014 8
AE060MT 050;;;1;789002434831 7
BC777MT 050;;;1;789000634862 5
BC241 100;;;1;789000634884 7
97348620;;;1;789053713239 7
64134341;;;1;720020190132 5
64134211;;;1;720050190131 5
800060140050;;;1;789053710125 6
SM405 STD;;;1;789894231414 8
RDC1006;;;1;170010010557 3
64114861;;;1;720010190072 5
64114341;;;1;720020190070 0
64114211;;;1;720020190068 7
64111471;;;1;720050190065 3
KD0019CP;;;1;789001640606 3
S59210 050;;;1;120150192388 4
SM405 125;;;1;789000634931 8
SM405 150;;;1;789000634932 5
SB777 025;;;1;789000634943 1
SM777 025;;;1;789000634944 8
BB218 025;;;1;789000634950 9
M59710 025;;;1;789241589307 9
A59000 050;;;1;789476601198 0
A59100 100;;;1;120300192355 5
A59009 050;;;1;789241537709 8
40297960;;;1;789053710907 8
92054710 050;;;1;789001534998 9
307751000;;;1;789003034999 5
79407FLEX;;;1;789000040973 5
77788610;;;1;789053710513 1
77788600;;;1;789053710512 4
40714CV;;;1;789000235136 0
800061340050;;;1;789053710127 0
11801AU/GU;;;1;730020190187 2
11220GU;;;1;730020190172 8
3602A;;;1;789001735213 0
PNA7707 STD;;;1;789003035390 9
M35300075;;;1;789000635502 9
11911AG;;;1;789854426274 8
800064440000;;;1;789053713143 7
AT3080;;;1;789815685072 2
50017775;;;1;789053711501 7
40714MLS;;;1;789000236080 5
RE1298;;;1;789001736163 7
AE014020;;;1;789002436180 4
EMA7730 STD;;;1;789003036206 2
A59490 050;;;1;789476601212 3
46610CB SC;;;1;789354800653 4
LN7242 STD;;;1;789003036210 9
97295610 050;;;1;789053712033 2
K26510;;;1;120160190947 4
VS5264;;;1;789001738951 8
BC708 020;;;1;789000636231 7
11706CBSC;;;1;789354800391 5
11611CB RV;;;1;130020190687 3
11420CB SC;;;1;130020190685 9
R32313S;;;1;230200190715 8
11220CB SC;;;1;130020190682 8
11912AG;;;1;789854426276 2
50017640;;;1;789053712936 6
01945BRGS;;;1;789004113741 3
800038441000;;;1;789053713376 9
97462620;;;1;789053713250 2
800035041 050;;;1;789053713053 9
AR3050;;;1;789003736927 9
50017813;;;1;789053711533 8
50017748;;;1;789053711474 4
800038441 050;;;1;789053713377 6
800035041000;;;1;789053713052 2
1100N;;;1;789004137008 7
AEFO16;;;1;789003037190 3
JSCF10STD;;;1;789002237234 5
JCRHY18A;;;1;789000040962 9
800038940;;;1;789003037337 2
AT3057;;;1;789003737472 3
50017749 STD;;;1;789053711475 1
PSA8788050;;;1;789003037522 2
61405US;;;1;789000238086 5
KD0082;;;1;789001638719 5
40058600;;;1;789001539120 9
800067540040;;;1;789003039178 9
454002;;;1;789001039225 6
30511AG;;;1;789000239528 9
14311AG;;;1;789000239595 1
A59870 STD;;;1;789241539259 6
30505AGR;;;1;789000239627 9
11113AGR;;;1;789000239809 9
S59210;;;1;120150192233 7
K59212 STD;;;1;120160193875 7
A59500 100;;;1;120300192222 0
41912600;;;1;789000640744 5
11136FL;;;1;789004140488 1
10174;;;1;789267700173 1
61507US;;;1;730020191013 3
A59000 100;;;1;120300192009 7
A59000 075;;;1;120300192008 0
A59109 050;;;1;789476606181 7
A59109 STD;;;1;789476606180 0
S59600 050;;;1;120150191598 8
M59123 050;;;1;789476604327 1
X56E6K301BE;;;1;789004138432 9
R55412N;;;1;230200190719 6
02005BAGP;;;1;789125202005 1
R31812S;;;1;230200190711 0
R31800S;;;1;230410190710 6
R30611S;;;1;230200190709 7
E59210 100;;;1;120150192728 8
A59009 STD;;;1;789476606179 4
B59228 025;;;1;120060191555 3
B59223 100;;;1;120060191554 6
11105GU;;;1;730020191081 2
B59223 075;;;1;120060191553 9
B59223 050;;;1;120060191552 2
A59500 STD;;;1;789476607372 8
A59490 STD;;;1;789476601211 6
VS1117;;;1;789001712094 4
A59320 STD;;;1;789476601208 6
A59300 STD;;;1;789476601205 5
05245MJEF;;;1;789125205245 8
800067540000;;;1;789003039177 2
BB228 075;;;1;789000636232 4
A59100 STD;;;1;789476601201 7
40749610;;;1;789001537242 0
L59060 010;;;1;789476603949 6
35050;;;1;789000041065 6
S59110 050;;;1;120150192389 1
800067340000;;;1;789003037966 4
L59010 010;;;1;789476603944 1
05338PHSIP;;;1;789125205338 7
M59708 050;;;1;120060191390 0
M59405 100;;;1;120060191387 0
S59100 050;;;1;120150192387 7
M59405 075;;;1;120060191386 3
20102;;;1;789267700530 2
40735FL;;;1;789004138701 6
M59405 050;;;1;120060191385 6
L59060;;;1;120240191169 8
L59014 STD;;;1;789476603947 2
M59710 STD;;;1;789241589305 5
M59405;;;1;120060191164 7
B59228 STD;;;1;789476601674 9
20008;;;1;789267700428 2
20005;;;1;789267700425 1
