Cód.Original;Baia;Corredor;Nível;Cód.Barras
7000406003;110;G;1;240230070041 9
9060380171;111;G;1;250040020011 9
 0000748;112;G;1;170350010537 2
 000007008117;113;G;1;250630020257 4
3521300319;114;G;1;250400020009 8
 07543;115;G;1;789006335326 6
50270AG;116;G;1;730020011080 0
3529900401;117;G;1;170040021278 0
48423SC;118;G;1;130020020941 8
VB036;119;G;1;320200020027 6
16004;120;G;1;789267700377 3
UR1364RL;120;G;1;170230011060 9
UR1371RL;121;G;1;750230050012 7
VBA904RL;122;G;1;690230280286 0
16005;123;G;1;789267700378 0
16006;124;G;1;789267700379 7
35160;125;G;1;230020020399 6
48821FA;126;G;1;730020020730 2
48822 CV;127;G;1;730020020731 9
35611;128;G;1;230020020400 9
16007;129;G;1;789267700380 3
48316CL;130;G;1;130020020312 6
01-00020;131;G;1;460480020001 9
35936B;132;G;1;230020020506 8
35612B;133;G;1;230020020429 0
89177190;13A;G;1;789053710826 2
S48550 050;15A;G;1;120150020738 1
78465;54;G;1;789000438470 0
800010921000;59;G;1;789053710195 9
MD5346CCE;001A;H;1;789582519323 4
MD14402E;001B;H;1;789582519318 0
K41A; 002;H;1;570440040007 5
K41; 003;H;1;570440020005 7
K40; 004;H;1;570440020004 0
K39B; 005;H;1;570440020003 3
K39; 006;H;1;570440020002 6
K38; 007;H;1;570440020001 9
CO510; 008;H;1;320180020147 6
CO511; 009;H;1;320180020146 9
CO528; 010;H;1;320180020142 1
10103; 011;H;1;789267700099 4
10104; 012;H;1;789267700100 7
10108; 013;H;1;789267700103 8
10114; 014;H;1;789267700110 6
10215;014A;H;1;789267700223 3
10123; 015;H;1;789267700124 3
10180; 016;H;1;789267700181 6
10181;016A;H;1;789267700182 3
10216;016B;H;1;789267700224 0
CO513; 017;H;1;320180020148 3
WA49783;017A;H;1;789002839188 3
CA9747;017A;H;1;530280020029 7
WR252;017A;H;1;789002839219 4
20032; 018;H;1;789267700455 8
CO508; 018;H;1;320180020135 3
20031;018A;H;1;789267700453 4
20030; 019;H;1;789267700452 7
CO501; 019;H;1;320180020140 7
20029;019A;H;1;789267700451 0
CO514; 020;H;1;320180020136 0
 0040057;020A;H;1;789582500771 5
CO515; 021;H;1;789613390012 5
77593600 STD; 022;H;1;789053710213 0
CO507; 022;H;1;320180020137 7
M48273 025;022A;H;1;789000608088 4
77593620;022B;H;1;789000636487 8
M48273 050;022B;H;1;789476604218 2
M48275 075;022C;H;1;789476604224 3
77593630;022C;H;1;789053710216 1
M48273 100;022D;H;1;789476604220 5
CO523; 023;H;1;320180020141 4
10093; 024;H;1;789267700091 8
20047; 025;H;1;150100020045 6
10057; 026;H;1;789267700062 8
M48135; 026;H;1;120060020491 7
BC135J STD;026A;H;1;120060052932 4
M48135 STD;026A;H;1;789476604191 8
BC135J 025; 027;H;1;120060052860 0
77594615 025; 027;H;1;789053710224 6
M48135 025; 027;H;1;789476604192 5
20064; 027;H;1;789267700489 3
BC135J 050; 028;H;1;789000615181 2
M48135 050; 028;H;1;789476604193 2
77594625 050; 028;H;1;789053710226 0
77594635 075; 029;H;1;789000634212 8
20046A; 029;H;1;150100020043 2
M48135 075; 029;H;1;789476604194 9
77594645 100; 030;H;1;789053710230 7
M48135 100; 030;H;1;789476604195 6
B48134 100;030A;H;1;789476601513 1
87841640 100;030A;H;1;280060020385 0
87841630 075;030B;H;1;789053710771 5
B48134 075;030B;H;1;789476601512 4
87841620 050;030C;H;1;789053710770 8
87841610;030D;H;1;280060020244 0
87841600 STD;030E;H;1;789053710768 5
M48135 150;030F;H;1;789476604196 3
20045A; 031;H;1;150100020040 1
78756604 STD; 031;H;1;789053710297 0
86093624 STD; 032;H;1;789000633998 2
BB134J STD; 032;H;1;120220022768 6
B48135 050; 032;H;1;789476601517 9
86093604 STD; 032;H;1;789000633996 8
B48134 STD; 032;H;1;789476601509 4
86093614 STD; 032;H;1;789000633997 5
BB134J 075; 033;H;1;789241592745 3
78756634 075; 033;H;1;789053710300 7
20033; 033;H;1;789267700457 2
B48134 025; 033;H;1;789476601510 0
A48020 STD; 034;H;1;789476608055 9
B48134 050; 034;H;1;789476601511 7
20032A; 034;H;1;789267700456 5
NN6408 STD; 035;H;1;120300022623 7
NN6408 050;035A;H;1;789003034186 9
10031A; 036;H;1;150100020036 4
A48000 075; 036;H;1;789476601123 2
MB20640; 037;H;1;789000137332 5
B48134 150; 037;H;1;789476608686 5
A48000 100; 037;H;1;789476606062 9
BB235 075; 039;H;1;789000634809 0
B48235 050; 040;H;1;789476601544 5
20009; 041;H;1;789267700429 9
B48235 075; 041;H;1;789476601545 2
 041020; 042;H;1;789004236230 2
 046020; 042;H;1;789004236229 6
41046020; 042;H;1;789537203094 5
T48826; 042;H;1;120420020777 4
T48705; 043;H;1;120420020154 3
41040020; 043;H;1;789537203089 1
TS0102009; 044;H;1;920420020001 2
T48704; 044;H;1;120420022188 6
T48510; 045;H;1;120420020778 1
H48043 100; 046;H;1;120220022498 2
H48043 050; 048;H;1;170220022924 1
SH043J 050; 048;H;1;789002232212 8
H48043 025; 049;H;1;120220022499 9
H48043; 050;H;1;120220020331 4
87256694 SEMI; 050;H;1;789002233607 1
EC042J 075; 051;H;1;120220052592 8
H48042; 051;H;1;120220020330 7
H48042 075;051A;H;1;120220323540 4
H48034 100; 052;H;1;120220020699 5
EC034J 050;052A;H;1;120220022743 3
M48400 STD; 053;H;1;789476604254 0
87503604 STD; 053;H;1;789000634003 2
BC400J STD; 053;H;1;789000625536 7
87503614 STD; 054;H;1;789053710720 3
87503614 025; 054;H;1;789000633817 6
M48400 025; 054;H;1;789476604255 7
M48400 050; 055;H;1;789476604256 4
M48400 075; 056;H;1;120060020417 7
M48400 100; 057;H;1;120060022500 4
VE0480003; 057;H;1;120170022566 6
VA0480004;057A;H;1;120170022565 9
B48335 STD; 058;H;1;789476601576 6
87505600 STD; 058;H;1;789053710726 5
BB335; 058;H;1;120060022936 1
87505610 025; 059;H;1;789053710727 2
B48335 025; 059;H;1;789476601577 3
B48335 050; 060;H;1;789476601578 0
50009108;060A;H;1;789008237094 7
B48335 075; 061;H;1;789476601579 7
B48335 100; 062;H;1;789476601580 3
77594600 STD; 063;H;1;789053710222 2
M48275 STD; 063;H;1;789476604221 2
77594610 025; 064;H;1;789053710223 9
M48275 025; 064;H;1;789476604222 9
M48275 050; 065;H;1;789476604223 6
M48374 050;067A;H;1;789241534608 7
87355693; 068;H;1;789002232883 0
G48016; 068;H;1;120220020844 9
G48017; 069;H;1;120220020061 0
87355793; 069;H;1;789002232884 7
G48018; 070;H;1;120220020334 5
BG018U STD; 070;H;1;789241514778 3
87354893 SEMI; 070;H;1;789053710667 1
G48069; 071;H;1;120220020335 2
87314694; 071;H;1;280060020424 6
G48126; 072;H;1;120220020359 8
G48137; 073;H;1;120220020336 9
G48412; 074;H;1;120220020845 6
G48526; 075;H;1;120220020846 3
G48616; 076;H;1;120220020847 0
72823690; 076;H;1;789002237284 0
BG616U STD; 076;H;1;789241536924 6
G48617; 077;H;1;120220020848 7
G48716;077A;H;1;120220022258 2
C594; 078;H;1;560220020025 6
H48041; 079;H;1;120220020843 2
H48041 075;079A;H;1;120220020161 7
H48034; 080;H;1;120220020418 2
87245604 STD; 080;H;1;789053710645 9
87245694;080A;H;1;789053710647 3
H48034 050SEMI;080A;H;1;120220023132 4
H48034 025; 081;H;1;120220020064 1
H48034 050; 082;H;1;120220020332 1
H48034 075; 083;H;1;120220020329 1
SH034J 075; 083;H;1;789002232213 5
77824600 STD; 084;H;1;789000634327 9
48812CBSC; 084;H;1;130020020276 1
77824610 025;084A;H;1;789000634328 6
77538600 STD;084B;H;1;789000634329 3
77538610 025;084C;H;1;789000634330 9
48411U; 085;H;1;730020020129 4
80270;085A;H;1;789125280270 1
48512U;085C;H;1;789854427238 9
JC48350/6 98; 086;H;1;120020020525 3
56125703; 087;H;1;720020020499 1
486010R; 087;H;1;130020020281 5
JC48350/6 100; 087;H;1;120020020079 1
48625SC; 087;H;1;130020020454 3
48803NOX-U; 087;H;1;730020020663 3
48802U; 087;H;1;730020020661 9
78406US;087A;H;1;789000238088 9
78406SCR;087A;H;1;789000237774 2
48301FPSD4; 088;H;1;130020020279 2
JC48510/4 100; 088;H;1;120020020490 4
48301U; 088;H;1;730020020656 5
JC48510/4 98; 089;H;1;120020020526 0
48432NAK;089A;H;1;730020020686 2
JSRJE27D; 090;H;1;789000238678 2
JS48100/4 98; 090;H;1;120020020493 5
J48930;090A;H;1;120020020913 8
48902U; 091;H;1;730020020665 7
JC48600/2 98; 091;H;1;120020020527 7
JC48600/3 98; 092;H;1;120020020528 4
48901U; 092;H;1;730020020664 0
48901OR; 092;H;1;130020020285 3
56111903; 092;H;1;720020020494 6
JC48930/1 98; 093;H;1;120020020885 8
9430084245;093A;H;1;760670050021 0
 012185; 094;H;1;170410013211 9
03110V; 095;H;1;130410020452 8
 011745; 096;H;1;789004132215 4
01810BRGF; 096;H;1;170410010103 0
01810BAG; 096;H;1;510410550152 5
01810BAGS; 096;H;1;510410010016 7
R35212S; 096;H;1;230480020724 8
MM100114E;096A;H;1;789001737286 2
23671; 097;H;1;789005532216 4
MM100115E; 097;H;1;789001737287 9
48716AG; 098;H;1;730020020744 9
48917AG; 099;H;1;730020020746 3
OTD0095;100;H;1;170390011121 8
48832PAK;101;H;1;730020020690 9
48832NAK;101;H;1;789000236363 9
 06305;102;H;1;250240020247 6
48532 CB;102;H;1;730020020687 9
48532CB;102;H;1;130020020298 3
48869PP;103;H;1;730020020811 8
 08930;103;H;1;690730280163 9
3142W004;103;H;1;789007340535 1
48868 PP;104;H;1;730020020810 1
48868PP;104;H;1;130020020418 5
48227B;105;H;1;730020020696 1
09236BREF;106;H;1;789125209236 2
48701U;106;H;1;730020020660 2
09235BREF;106A;H;1;789125209235 5
35912B;109;H;1;230020020435 1
48307SCR;110;H;1;730020020613 8
U48930;110;H;1;789476604778 1
48504JGSUP;111;H;1;789854426672 2
R35210P;111;H;1;230410020723 8
48605JGSUP;112;H;1;789854426679 1
48896CV;112;H;1;730020021475 1
OTD0022;113;H;1;170730023112 5
02099 BA;114;H;1;510410020063 8
48425AN;115;H;1;130020020307 2
48527CB;116;H;1;730020020698 5
48926NAK;117;H;1;130020011597 9
K43;5;H;1;789004432302 8
91500BR; 001;I;1;230020380513 5
90800B; 002;I;1;230020360510 0
24407B; 003;I;1;230020300134 6
24211B; 004;I;1;230020300124 7
28710B; 005;I;1;230020300233 6
20312B; 006;I;1;230020300034 9
24217B; 007;I;1;230020300125 4
24010B; 008;I;1;230020300115 5
20895B; 009;I;1;230020300052 3
20810B; 010;I;1;230020300045 5
24005B; 011;I;1;230020300108 7
24017B; 012;I;1;230020300113 1
10801SC; 013;I;1;130020300529 1
24305B; 013;I;1;230020300129 2
24016B; 014;I;1;230020300112 4
20817B; 015;I;1;230020300050 9
20816B; 016;I;1;230020300049 3
20811B; 017;I;1;230020300046 2
24011B; 018;I;1;230020300110 0
20210B; 019;I;1;230020300029 5
24405B; 020;I;1;230020300133 9
24905B; 021;I;1;230020300147 6
24410B; 022;I;1;230020300135 3
24411B; 023;I;1;230020300136 0
24111; 024;I;1;230020300866 6
24116B; 025;I;1;230020300118 6
24816B; 026;I;1;230020300143 8
24105B; 027;I;1;230020300116 2
20416B; 028;I;1;230910300037 4
S14010; 029;I;1;120150301052 0
S14010 050; 030;I;1;120150302279 0
S14010 100; 031;I;1;120150302330 8
S14050; 032;I;1;120150301053 7
S14050 050; 033;I;1;120150190268 1
S14050 100; 034;I;1;120150302501 2
S14070; 035;I;1;120150301054 4
S14070 050; 036;I;1;120150302209 7
97488620;036A;I;1;789053713338 7
S14070 100; 037;I;1;120150302210 3
S14090; 038;I;1;120150301056 8
S14090 050; 039;I;1;120150301567 9
E14090 050; 039;I;1;120150302724 5
S14090 100; 040;I;1;120150302211 0
S14110; 041;I;1;120150301057 5
S14110 050; 042;I;1;120150302198 4
S14110 100; 043;I;1;120150010923 4
S14120; 044;I;1;120150301058 2
S14120 050; 045;I;1;120150302199 1
S14120 100; 046;I;1;120150302292 9
97352600 STD; 047;I;1;789001534762 6
97352601; 047;I;1;789053713236 6
S14140 STD; 047;I;1;120150301059 9
S14140 050; 048;I;1;120150302303 2
97352621; 048;I;1;789053713237 3
97352620 050; 048;I;1;789001534763 3
S14140 100; 049;I;1;120150302502 9
S14145; 050;I;1;120150301060 5
97530621; 051;I;1;789053713335 6
S14145 050; 051;I;1;120150302204 2
S14145 100; 052;I;1;120150302503 6
S14180; 053;I;1;120150301061 2
A14079 050; 053;I;1;789241563419 1
S14180 050; 054;I;1;120150302449 7
S14185; 056;I;1;120150301062 9
S14185 050; 057;I;1;120150012460 2
97340611; 057;I;1;789053712164 3
E14010; 059;I;1;120150301135 0
E14030; 060;I;1;120150301136 7
E14030 075; 061;I;1;120150301995 0
E14090; 062;I;1;120150301139 8
E14110; 063;I;1;120150301140 4
E14110 075; 063;I;1;120150301996 7
PS4742 100;064A;I;1;789001535072 5
VE0140248; 065;I;1;120170303824 9
E14220 075; 065;I;1;120150301997 4
VE0140107;066A;I;1;120170303622 1
VE0140184;067A;I;1;120170303613 9
800063940000;068A;I;1;789053713135 2
800063940 050;068B;I;1;789053713136 9
A14019 STD; 069;I;1;789476606155 8
A14019 050; 070;I;1;789476606156 5
A14019 100; 071;I;1;789476606157 2
800060941 100; 071;I;1;789053713221 2
A14070 STD; 072;I;1;789476601017 4
800061040000 STD; 072;I;1;789003034746 5
800061040 050; 073;I;1;789053710060 0
800061041050; 073;I;1;789053710059 4
A14070 050; 073;I;1;789476601019 8
DA6404100;073A;I;1;789003036202 4
A14070 100;073A;I;1;789476601021 1
A14080 STD; 074;I;1;789476601022 8
800020942000 STD; 074;I;1;789003037122 4
A14079 STD;074A;I;1;789241563418 4
281070301; 075;I;1;789003040406 9
580145401 050; 075;I;1;789003039167 3
A14080 050; 075;I;1;789476601023 5
PNA7504050; 075;I;1;789003035196 7
RA1289;075A;I;1;789001736161 3
A14080 100; 076;I;1;789476601024 2
A14110 STD; 077;I;1;789476601025 9
800062240000 STD; 077;I;1;789003034747 2
A14110 050; 078;I;1;789476601026 6
800062240050 050; 078;I;1;789003034748 9
A14110 100; 079;I;1;789476601027 3
A14130 STD; 080;I;1;789241527590 5
A14130 050; 081;I;1;789241527591 2
800064040000 STD; 082;I;1;789003034738 0
800064041000; 082;I;1;789053713137 6
A14140 STD; 082;I;1;789476601028 0
A14149 STD; 082;I;1;789241564441 1
A14149 050; 083;I;1;789241564442 8
A14140 050; 083;I;1;789476601029 7
800064041 050; 083;I;1;789053713138 3
A14180 STD; 084;I;1;789476607768 9
A14189 STD; 084;I;1;789241562772 8
800039741 050; 085;I;1;789003038757 7
A14189 050; 085;I;1;789241562773 5
A14180 050; 085;I;1;789476607769 6
800039741000; 086;I;1;789003036564 3
A14185 STD; 086;I;1;789476607293 6
A14185 050; 087;I;1;789476607294 3
800061140000; 088;I;1;789053710063 1
A14210 STD; 088;I;1;789003011816 4
A14210 050; 089;I;1;789476601031 0
800061140050; 089;I;1;789053710064 8
A14219 050; 089;I;1;789241564447 3
800061140100; 090;I;1;789003035356 5
A14210 100; 090;I;1;789476601033 4
PNA7508; 091;I;1;789003037030 2
800021140000; 091;I;1;789053710069 3
A14230 STD; 091;I;1;789476601034 1
A14239 STD; 091;I;1;789241562777 3
800021140; 092;I;1;789053710070 9
DA6633 050; 092;I;1;120300303289 7
A14239 050; 092;I;1;789241562778 0
A14230 050; 092;I;1;789476601035 8
A14230 100; 093;I;1;789476601036 5
800021140100; 093;I;1;789053710071 6
93246766; 094;I;1;390300300008 4
800021241000 STD; 094;I;1;789053710037 2
A14279 STD; 094;I;1;789241563424 5
SNA6631; 094;I;1;120300303693 2
A14270 STD; 094;I;1;789476601037 2
A14270 050; 095;I;1;789476601038 9
A14279 050; 095;I;1;789241563425 2
800021241050; 095;I;1;789053710038 9
800064840000;095A;I;1;789053713343 1
800064840050 050;095B;I;1;789053713344 8
M14545 STD; 096;I;1;789241539569 6
SM14545 STD; 096;I;1;789241554764 4
BC172MT STD; 096;I;1;789000634847 2
BC172 STD; 096;I;1;789000634883 0
M14545 025; 097;I;1;120060300473 6
SM172 025; 097;I;1;789000634940 0
77611610 025; 097;I;1;789000634621 8
SM14545 025; 097;I;1;789241554765 1
SM172 050; 098;I;1;789000634941 7
SM14545 050; 098;I;1;789241554766 8
914545 050; 098;I;1;170060302927 7
77611620 050; 098;I;1;789053710320 5
M14545 075; 099;I;1;120060282468 7
SM14545 075; 099;I;1;789241554767 5
M14545 100;100;I;1;120060302397 3
SM14545 100;100;I;1;789241554768 2
SB14163 STD;101;I;1;789241554685 2
BB163MT STD;101;I;1;789000634834 2
B14163;101;I;1;120060301397 4
BB163 STD;101;I;1;789000634804 5
86002614 025;102;I;1;789000632218 2
77610610 025;102;I;1;789000635041 3
SB163 025;102;I;1;789000634936 3
86004614 025;102;I;1;280060300738 7
B14163 025;102;I;1;120060301398 1
SB14163 025;102;I;1;789241554686 9
SB163 050;103;I;1;789000634937 0
B14163 050;103;I;1;120060301399 8
77610620 050;103;I;1;789053710315 1
SB14163 050;103;I;1;789241554687 6
SB14163 075;104;I;1;789241554688 3
77610630 075;104;I;1;789053710316 8
B14163 075;104;I;1;120060301400 1
B14163 100;105;I;1;120060301393 6
SB14163 100;105;I;1;789241554689 0
77610640 100;105;I;1;789053710317 5
M14182;106;I;1;120060301422 3
0M14182 STD;106;I;1;120060023142 5
77613600 STD;106;I;1;789053710328 1
SM182 STD;106;I;1;789000634927 1
M14182 025;107;I;1;120060301423 0
77613610 025;107;I;1;789053710329 8
SM14182 025;107;I;1;789241554751 4
77613620 050;108;I;1;789053710330 4
M14182 050;108;I;1;120060301424 7
SM14182 050;108;I;1;789241554752 1
M14182 075;109;I;1;120060301425 4
77613630 075;109;I;1;280060300767 7
BC182J 020;109;I;1;120060582617 6
SM14182 075;109;I;1;789476604071 3
SM182 100;110;I;1;789000634928 8
77613640 100;110;I;1;789053710333 5
M14182 100;110;I;1;120060301426 1
77612600 STD;111;I;1;789053710323 6
SB14184 STD;111;I;1;789241554690 6
B14184;111;I;1;120060301402 5
B14184 025;112;I;1;120060301403 2
77612610 025;112;I;1;789053710324 3
SB14184 075;112;I;1;789241554693 7
SB14184 025;112;I;1;789241554691 3
SB14184 050;113;I;1;789241554692 0
77612620 050;113;I;1;789053710325 0
B14184 050;113;I;1;120060301404 9
BB184 075;114;I;1;789000634806 9
B14184 075;114;I;1;120060301405 6
SB184 075;114;I;1;789000634938 7
SB184 100;115;I;1;789000634939 4
B14184 100;115;I;1;120060301406 3
M14452 STD;116;I;1;120060301435 3
87410600;116;I;1;789000633546 5
87410610;117;I;1;789053710695 4
M14452 025;117;I;1;120060301443 8
87410620 050;118;I;1;789000634997 4
M14452 050;118;I;1;120060301436 0
BC452MT 075;119;I;1;789000634860 1
M14452 075;119;I;1;120060301955 6
BC452 075;119;I;1;789000634896 0
M14452 100;120;I;1;120060301437 7
BC452MT 100;120;I;1;789000634861 8
87409600;121;I;1;789053710689 3
SB14271 STD;121;I;1;789241589322 2
B14271;121;I;1;120060301411 7
BB271 STD;121;I;1;789000634816 8
87409610;122;I;1;789053710690 9
B14271 100;122;I;1;170060300768 8
B14271 025;122;I;1;120060301412 4
SB14271 025;122;I;1;789241589324 6
87409620;122A;I;1;789053710691 6
SB14271 050;123;I;1;789241589326 0
SBB271 050;123;I;1;789241589327 7
B14271 050;123;I;1;120060301413 1
BB271MT 075;124;I;1;789000634839 7
B14271 075;124;I;1;120060301414 8
BB271 100;125;I;1;789000634815 1
BB271MT 100;125;I;1;789000634840 3
77615620050;125A;I;1;789000636239 3
50017700;126;I;1;789053711426 3
VA0140108;127;I;1;120470303573 7
50017703;128;I;1;789053711429 4
VA0140110;128;I;1;120170303574 3
VA0140041;128A;I;1;120170303621 4
50017702;128A;I;1;789053711428 7
VE0140109;128B;I;1;120170303623 8
50017710;129;I;1;789053711436 2
VA0140084;129;I;1;120170283277 0
50017711;130;I;1;789053711437 9
50017882;130A;I;1;789053712278 7
VE0140025;130A;I;1;120170303615 3
50017712;131;I;1;789053711438 6
VA0140114;132;I;1;120170303578 1
50017713;132;I;1;789053711439 3
50017724;133;I;1;789053711450 8
VA0140026;133A;I;1;120170303614 6
50017881;133A;I;1;789053712277 0
50017725;134;I;1;789053711451 5
50017732;134A;I;1;789053711458 4
VS1658;134A;I;1;789000137910 5
VE0140083;134A;I;1;120170303278 0
VE0140105;134A;I;1;120170053058 6
50017736;134B;I;1;789053711462 1
VE0140113;134B;I;1;120170303620 7
50017733;135;I;1;280170300633 1
50017735;136;I;1;789053711461 4
50017753 STD;137;I;1;789053711479 9
VS1981;137;I;1;920170010052 1
VS4261;138;I;1;920170020067 2
3136AC;138;I;1;789000137736 1
VA0140015;138;I;1;120170052804 0
50017754;138;I;1;789053711480 5
50017755;139;I;1;789053711481 2
VS4262;139;I;1;920170020068 9
RE1112NP;139;I;1;789001737740 9
VE0140014;139;I;1;120170302798 4
3137ECB;139;I;1;789001733559 1
VA0140086;139A;I;1;120170303618 4
50017777;140;I;1;789053711503 1
50017811;141;I;1;789053713554 1
50017812 STD;142;I;1;789053711532 1
50017701 STD;142A;I;1;789053711427 0
VA0140104;142A;I;1;120170583013 1
50017818;143;I;1;789053711538 3
50017819;144;I;1;789053711539 0
50017835 STD;145;I;1;789053711551 2
VS4899;145;I;1;789001736172 9
VS4900;146;I;1;789001737713 3
50017836;146;I;1;789053711552 9
VA0140076;147;I;1;120170303616 0
50017837;147;I;1;789053711553 6
50017838;148;I;1;789053711554 3
VE0140075;148;I;1;120170303617 7
10206AU/GU;149;I;1;730020580003 4
64014781;149;I;1;720020300254 9
74014781;149;I;1;720020300277 8
10206AG;149;I;1;789000235095 0
10207AU/GU;150;I;1;730020580005 8
10207AG;150;I;1;789854426011 9
24400B;150;I;1;230020300131 5
64014791;150A;I;1;720020300255 6
74014791;151;I;1;720020300278 5
10208AU/GU;152;I;1;730020580007 2
10406AG;153;I;1;789000235099 8
10406GU;153;I;1;730020301609 3
10450GAS;154;I;1;789000233444 8
10906AU/GU;154;I;1;730020580024 9
20519AM;154;I;1;720020580790 6
10807AG;155;I;1;789854426035 5
10807AU/GU;155;I;1;730020580018 8
10806AG;156;I;1;789000235104 9
10806AU/GU;156;I;1;730020580016 4
10314AG;157;I;1;789004837414 9
10314MLS;157;I;1;789854426834 4
20019B;159;I;1;230020300026 4
24018B;160;I;1;230020300114 8
20018B;161;I;1;230720300025 6
24418B;162;I;1;230020300139 1
20818B;163;I;1;230020300051 6
20658B;164;I;1;230720300041 6
BB184 025;164;I;1;789000634805 2
10801FPSA;165;I;1;510020280108 7
75946;166;I;1;170020013621 7
90705B;166;I;1;230020360586 5
24617B;167;I;1;230020300141 4
20812B;168;I;1;230020300047 9
20014B;169;I;1;230020300022 6
10126B;169;I;1;730020580055 3
24012B;170;I;1;230020300111 7
20814B;171;I;1;230020300048 6
A14010 050;172;I;1;789476601011 2
A14410 020;173;I;1;789476601041 9
A14450 STD;174;I;1;789476601051 8
A14450 020;175;I;1;120300302712 1
VA0140072;177A;I;1;120170303610 8
50004483;177A;I;1;789001735316 8
10307MLS;178;I;1;789854426857 3
10307AG;178;I;1;789854428014 8
GC0140092 STD1;179;I;1;120340303630 3
12571040;179;I;1;789537201016 9
MTE797;180;I;1;789011337354 1
64014861;181;I;1;720020300744 5
64014841;182;I;1;720020300743 8
R28610V;184;I;1;230410300640 1
R24415V;185;I;1;230200300637 8
MMVT21792K;185A;I;1;789001733667 3
R24210P;186;I;1;230410300629 6
R20012S;187;I;1;230480300623 7
R20012N;188;I;1;230410300622 7
CGD194NP;189;I;1;789006632219 1
11202SC;190;I;1;130020190697 2
10202AU/GU;190;I;1;730020580030 0
10201AU/GU;190A;I;1;730020580029 4
64014231;191;I;1;720020300252 5
VE0140085;191A;I;1;120170303619 1
R23113V;192;I;1;230380280659 6
R24400V;193;I;1;230410300635 7
R28600S;194;I;1;230410300639 5
50017721;194A;I;1;789053711447 8
R20800S;195;I;1;230200300624 8
64014831;196;I;1;720020300742 1
VE0140039;196A;I;1;120170303221 6
64014241;198;I;1;720020300253 2
10911AG;199;I;1;789854426245 8
10911AU/GU;199;I;1;730020580052 2
54030501;200;I;1;720020300293 8
VS1984;201;I;1;920010010053 7
23109EC;201;I;1;789001733147 0
50017791;201;I;1;789053711517 8
VE0140071;201A;I;1;120170303611 5
VA0140183;201A;I;1;120170303612 2
50004484;201A;I;1;789001735317 5
VA0140040;202;I;1;120170303576 7
50017752 STD;202;I;1;789053711478 2
10205AUGU;203;I;1;730020301603 1
10205AG;203;I;1;789854426007 2
10513GU;204;I;1;730020580045 4
10513AG;204;I;1;789000237416 1
10011AUGU;205;I;1;730020301604 8
10011AG;205;I;1;789854426213 7
800038940000;72A;I;1;789003037401 0
800064041100;84A;I;1;789003039153 6
77611630 075;97;I;1;789000633976 0
64030971; 001;J;1;720020300257 0
10305A/G;001A;J;1;789854426015 7
10312AG;001B;J;1;789854426221 2
64034101; 002;J;1;720020300263 1
64034801; 003;J;1;720020300269 3
10911OR RV; 004;J;1;130020581589 8
10212AUGU;004A;J;1;730020301626 0
10908AG;004A;J;1;789854426045 4
10815OR RV; 005;J;1;130020581588 1
10814OR SC; 006;J;1;130020300490 4
10814AG; 006;J;1;789854426243 4
10814CB SC; 006;J;1;130020300489 8
28095B; 006;J;1;230020300223 7
10814AU/GU; 006;J;1;730020581571 7
10813OR RV; 007;J;1;130020300488 1
10813AG; 007;J;1;789854426241 0
64033391; 007;J;1;720020300261 7
24295B; 007;J;1;230020300126 1
10813AU/GU; 007;J;1;730020580051 5
64033401; 008;J;1;720020300748 3
10808CB RV; 008;J;1;130020300477 5
10808AG; 008;J;1;789854426037 9
10808AU/GU; 008;J;1;730020580020 1
10907GU;008A;J;1;730020580026 3
10019BI;008C;J;1;730020301598 0
97406620 050;008D;J;1;789053713268 7
64034851; 009;J;1;720020300750 6
10805CB RV; 009;J;1;130020300473 7
10805ORSC; 009;J;1;789000040868 4
10917CB RV; 010;J;1;130020300521 5
10311AU/GU; 010;J;1;730020581572 4
10311AG; 010;J;1;789000235097 4
10311AU/GU;010A;J;1;730020301608 6
10914CB RV; 011;J;1;130020581590 4
10914OR RV; 012;J;1;130020300516 1
10915CB RV; 013;J;1;130020300518 5
10313GU; 013;J;1;130020301598 6
24495; 014;J;1;230020300928 1
10909OR RV; 014;J;1;130020300503 1
10212AG;014A;J;1;789000235096 7
20514NP; 015;J;1;770020280057 8
10910OR RV; 015;J;1;130020300507 9
3054;015A;J;1;789000239329 2
10110CV;015A;J;1;789000235091 2
10110AG;015A;J;1;789000238348 4
24195B; 016;J;1;230020300120 9
10410CV;016A;J;1;789000235098 1
10410MLS;016A;J;1;789000237604 2
10211AU/GU; 017;J;1;730020301606 2
24995B; 017;J;1;230020300002 8
64014821; 017;J;1;720020300746 9
10211AU/GU; 017;J;1;730020581574 8
10918AG;017A;J;1;789854426249 6
10211A/G; 018;J;1;789854426215 1
24895B; 018;J;1;230020300144 5
40211AG; 018;J;1;789854426301 1
10811AU/GU; 019;J;1;730020580049 2
10811OR RV; 019;J;1;130020300484 3
10811CB RV; 019;J;1;130020300483 6
10811AG; 019;J;1;789000236948 8
24395B; 020;J;1;230020300130 8
64034241; 020;J;1;720020300266 2
10804SC; 021;J;1;130020300531 4
10702SC; 022;J;1;130020300528 4
10905SC; 023;J;1;789354802198 8
10803AU/GU; 024;J;1;730020580040 9
10906AG; 025;J;1;789854426041 6
10906SC; 025;J;1;130020300537 6
10101SC; 026;J;1;130020010525 3
10701SC; 027;J;1;130020300527 7
10017SC; 028;J;1;130020300524 6
