Cód.Original;Baia;;Nível;Cód.Barras
70267 NAK;130;AA;2;789000236091 1
3174D005;14;AA;2;100700053021 5
3174D005P;14;AA;2;789007039979 0
70335AG;189;AA;2;730020051172 0
36862134P;20;AA;2;789000234686 1
70033NA;34;AA;2;789000240710 4
70844NA;57;AA;2;789000240063 1
3688C007P;92;AA;2;789000240246 8
70650080E; 001;AB;2;789582504410 9
70650069E; 002;AB;2;789582504399 7
32417134; 003;AB;2;100120058871 7
70650078E; 004;AB;2;789582504408 6
70640051;004A;AB;2;789582504346 1
7006554R91E; 005;AB;2;789010939139 9
7895825329459; 005;AB;2;789010937806 2
70993785; 005;AB;2;789582519878 9
7006548R91E;005A;AB;2;789582532944 2
PRC6387A; 006;AB;2;100650054135 6
37556159; 006;AB;2;100480053941 7
 0566004; 007;AB;2;100740057440 6
70997088; 008;AB;2;100130058249 3
35784134E; 009;AB;2;789582502387 6
70740176E; 010;AB;2;789582504599 1
3343J021; 011;AB;2;789003410092 9
34821119E; 012;AB;2;789582502314 2
 0571351; 013;AB;2;789582500966 5
70380005; 014;AB;2;100640053174 7
70590003; 015;AB;2;789582504241 9
70180148; 016;AB;2;789582503306 6
77503E; 017;AB;2;789582500399 1
2413682E; 018;AB;2;789582501308 2
77244E; 019;AB;2;789582500278 9
70620760E; 020;AB;2;789582504312 6
77288E; 021;AB;2;789582500298 7
72045; 022;AB;2;100120055063 9
72046E; 023;AB;2;789582500072 3
72048; 024;AB;2;100120050399 4
70820087E; 025;AB;2;789582504774 2
ERR3737A; 026;AB;2;100080339246 2
70920096E; 027;AB;2;789582504873 2
70820085E; 028;AB;2;789582504772 8
70380064E; 029;AB;2;789582507776 3
70180125E; 030;AB;2;789582503297 7
73083; 031;AB;2;100650052739 8
33555127; 032;AB;2;100080059371 8
70100796; 033;AB;2;100070338444 4
26420472; 034;AB;2;789582507441 0
7167-620D; 034;AB;2;170790013602 8
70992010; 035;AB;2;100070050489 0
41371158; 036;AB;2;100170052508 3
70490159; 037;AB;2;100020051551 8
3687H005E; 038;AB;2;789582502624 2
3687H003; 038;AB;2;100010011211 4
77530E; 039;AB;2;789582507219 5
36866206; 040;AB;2;100020051109 1
70740178E; 041;AB;2;789582504601 1
 0490474; 042;AB;2;100020053335 2
70050141E; 043;AB;2;789582502977 9
70940148E; 044;AB;2;789582504948 7
7185-900G; 045;AB;2;170790010734 9
74320E; 045;AB;2;789582508305 4
70610006; 046;AB;2;789582504253 2
50946398; 047;AB;2;720020050712 2
70490337R; 047;AB;2;100010014551 8
70490337; 047;AB;2;789582507835 7
70490128E; 048;AB;2;789582503978 5
50917598; 048;AB;2;720020050713 9
70927CL; 049;AB;2;130020050130 7
70490101E; 049;AB;2;100020051043 8
GA0570017; 049;AB;2;120340033589 8
50910998; 050;AB;2;720020050714 6
0490736E; 050;AB;2;789582500945 0
 0490676; 051;AB;2;100020057302 0
36851107; 052;AB;2;100020053936 1
50914798; 053;AB;2;720020050655 2
70490388; 053;AB;2;100020054060 2
70490388RE; 053;AB;2;789582508783 0
70631NA; 053;AB;2;789000238751 2
37422103E; 054;AB;2;789582502665 5
3688X001; 055;AB;2;789582502646 4
3688A006E; 056;AB;2;789582502637 2
36174115; 057;AB;2;100640053929 3
36865113; 058;AB;2;100020051012 4
70490065E; 059;AB;2;789582503952 5
50925590; 060;AB;2;720020050716 0
36817136; 060;AB;2;100020050971 5
; 060;AB;2;720020050715 3
50931498; 061;AB;2;720020050717 7
36867162E; 061;AB;2;789582502615 0
70490100E; 062;AB;2;789582503964 8
50916098; 062;AB;2;720020050140 3
50954890; 063;AB;2;720020050718 4
70490321E; 063;AB;2;789582507824 1
50914490; 064;AB;2;720020050719 1
70490756RE; 064;AB;2;789582508813 4
36865108; 064;AB;2;100020055440 1
70557NA; 064;AB;2;130020050140 6
70559NAK; 065;AB;2;789000238934 9
50933816; 065;AB;2;720020050656 9
80490032E; 065;AB;2;789582506180 9
36866415; 066;AB;2;100020051110 7
50914698; 066;AB;2;789000225518 7
70490342RE; 066;AB;2;789582508778 6
50914396; 067;AB;2;720020050136 6
70490343RE; 067;AB;2;789582508786 1
10829CV; 067;AB;2;789000041057 1
70037NA; 067;AB;2;789000238748 2
70490343; 067;AB;2;100020053584 4
70200856; 068;AB;2;789582507713 8
70490257; 069;AB;2;100020050992 0
50943298; 069;AB;2;720020050721 4
70018CB; 070;AB;2;789000236364 6
36884109RE; 070;AB;2;789582519450 7
36884109; 070;AB;2;100020051145 9
36884107E; 071;AB;2;789582502631 0
36884108RE; 072;AB;2;789582521321 5
36884108; 072;AB;2;100020051144 2
70419CB; 072;AB;2;789000235206 0
70490106; 073;AB;2;789582503966 2
36867108; 074;AB;2;100020056174 4
73195E; 075;AB;2;789582508723 6
70040023E; 076;AB;2;789582536804 5
70490192; 077;AB;2;100020051557 0
70955AN; 077;AB;2;130020050118 5
3571C009E; 078;AB;2;789582502356 2
2314H004E; 079;AB;2;789582501763 9
70740103E; 080;AB;2;789582504584 7
0827616E; 081;AB;2;789582501173 6
36237734; 082;AB;2;100870058258 0
 0920024; 083;AB;2;789582501200 9
33153136; 084;AB;2;789582502192 6
 0096440; 085;AB;2;100040056985 4
2645A614; 086;AB;2;100670057889 3
70923353; 087;AB;2;100210054996 9
70490360; 088;AB;2;100020054044 2
70449NA; 088;AB;2;789000238423 8
50910798; 088;AB;2;720020050667 5
70490360RE; 088;AB;2;789582508540 9
70490382RE; 089;AB;2;789000226172 0
70490382; 089;AB;2;100020054057 2
50914290; 089;AB;2;720020050135 9
70039NA; 089;AB;2;789000238749 9
0826466E; 090;AB;2;789582501146 0
70490043; 091;AB;2;100020057366 2
33813114; 092;AB;2;789582502267 1
36862143E; 093;AB;2;789582502574 0
50949316; 093;AB;2;720020050705 4
70440091; 094;AB;2;100880058298 5
33812116; 095;AB;2;100740059383 4
 0826241; 096;AB;2;100140057561 6
36862166; 097;AB;2;100020057423 2
50932916; 098;AB;2;720020050722 1
3688C017E; 098;AB;2;789582502642 6
11198050; 099;AB;2;789537200264 5
50955198; 099;AB;2;170020012435 1
70490334RE; 099;AB;2;789582508605 5
3623E001;100;AB;2;100020057418 8
70740050;101;AB;2;789582504559 5
70330018;102;AB;2;789582503725 5
 0940738;103;AB;2;100190057631 1
70992113;104;AB;2;101180050464 2
70490330E;105;AB;2;789582507830 2
50922790;105;AB;2;720020050690 3
3688V002;106;AB;2;100020051008 7
3688V003;107;AB;2;100020051149 7
70490708E;108;AB;2;789582507923 1
36833148;109;AB;2;789582502521 4
33225412E;110;AB;2;789582502208 4
3683H003;112;AB;2;100020051228 9
70820096E;114;AB;2;789582504780 3
 0940329;115;AB;2;100190051791 8
70263NA;116;AB;2;789000236090 4
50969390;116;AB;2;720020050723 8
3684A004E;116;AB;2;789582502543 6
0610844E;117;AB;2;789582500999 3
33127107E;118;AB;2;789582502169 8
36846409;118A;AB;2;100020051143 5
70650028;118B;AB;2;100120054109 5
6357140;118C;AB;2;100800052669 7
77502E;119;AB;2;789582500398 4
70490279;120;AB;2;789582504072 9
80330934;121;AB;2;100300050580 2
2645K602E;122;AB;2;789582501905 3
73191E;123;AB;2;789582508291 0
7008459R1E;123;AB;2;789000040965 0
73192E;123A;AB;2;789582508292 7
70200537E;124;AB;2;789582503490 2
77271E;125;AB;2;789582500291 8
70050046;126;AB;2;100220057350 5
 0571346;127;AB;2;789582500965 8
70100421E;128;AB;2;789582503106 2
70780011;129;AB;2;100700053282 0
70490071;130;AB;2;100020051975 2
50916298;130;AB;2;720020050724 5
2313M059;131;AB;2;100140057695 8
70100419;132;AB;2;100070053076 9
70490340E;133;AB;2;789582507838 8
50906190;133;AB;2;720020050725 2
73079;134;AB;2;789582500134 8
905782010060;134;AB;2;789582511555 7
7005209C1E;134;AB;2;789582536750 5
70490690E;135;AB;2;789582507916 3
70050036;136;AB;2;100220052711 9
70100127;137;AB;2;100070052029 6
70490136;138;AB;2;100020051024 7
70960-PH;138;AB;2;130020051592 2
31744137E;139;AB;2;789582502048 6
32526323E;140;AB;2;789582502112 4
33142111E;141;AB;2;789582502178 0
73193E;142;AB;2;789582508293 4
T010021;142;AB;2;789006539265 2
70550020;143;AB;2;100810051645 1
7004130C91E;144;AB;2;789582531653 4
70992758;144;AB;2;789582508672 7
7008332R1E;145;AB;2;789011240329 4
70991630E;145;AB;2;789582505321 7
0827801E;146;AB;2;789582501175 0
70490069;148;AB;2;100020051048 3
50927198;148;AB;2;720020050726 9
70490044;149;AB;2;100020053209 6
31744123;150;AB;2;789582502044 8
70991231E;151;AB;2;789582505162 6
70740058;152;AB;2;100040051442 7
JH2016;153;AB;2;170590051964 3
2558375;153;AB;2;100590057834 4
2558371E;154;AB;2;789582501364 8
2557298;155;AB;2;100590051950 7
2557225E;156;AB;2;789582501362 4
K55X62X18;156;AB;2;789005935624 0
NCS2016;157;AB;2;789005912795 6
2557182E;157;AB;2;789582501361 7
70910068E;158;AB;2;789582508081 7
2557181E;159;AB;2;789582501360 0
NCS1616;159;AB;2;789005913091 8
6201ZZ;159;AB;2;789005940461 3
0050274E;160;AB;2;789582500774 6
2557297;161;AB;2;100590057831 3
70040008;162;AB;2;100590053055 7
70040014;163;AB;2;100590051949 1
33415311;164;AB;2;100930053896 0
 0490115;165;AB;2;100020057275 7
70045C;165;AB;2;789002437920 5
0490115RE;165;AB;2;789582508539 3
 0360027;166;AB;2;789582500893 4
31171211E;167;AB;2;789582501973 2
74062;168;AB;2;101050052517 9
31745122E;169;AB;2;789582502052 3
31744133E;170;AB;2;789582502047 9
31747109;171;AB;2;100700051353 9
31745121E;172;AB;2;789582502051 6
33415509E;174;AB;2;789582502229 9
0096231E;175;AB;2;789582500793 7
70940043E;176;AB;2;789582504917 3
36232108E;177;AB;2;789582502405 7
70996020; 001;AD;2;101130055022 4
35504E; 002;AD;2;789582500005 1
70860021E; 003;AD;2;789582536890 8
916; 003;AD;2;690430030001 0
0746254E; 004;AD;2;789582501042 5
OTD0009; 005;AD;2;170010013882 3
0096237E; 006;AD;2;789582500799 9
31171114; 007;AD;2;100310052103 0
41115057E; 008;AD;2;789582502813 0
70410057; 009;AD;2;789582503811 5
80650722E; 010;AD;2;789582506182 3
70730041E; 011;AD;2;789582504538 0
70940163E;011B;AD;2;789582532010 4
3627P013;011B;AD;2;789582507530 1
70090011E; 012;AD;2;789582503034 8
 075216;012A;AD;2;789005238533 9
 0941183; 013;AD;2;100190053719 0
0826276E; 013;AD;2;789582501124 8
70470120E;013A;AD;2;789582507791 6
70820125E; 014;AD;2;789582508071 8
70050161E; 015;AD;2;789582502988 5
34049; 016;AD;2;100080054843 5
70200406E; 016;AD;2;789582503420 9
70740189E; 017;AD;2;789582504604 2
7004045C1E; 018;AD;2;789582536842 7
3242T001; 018;AD;2;789582502106 3
70700013; 019;AD;2;100430051394 8
0576065E; 020;AD;2;789582500977 1
0746454E; 021;AD;2;789582501054 8
0096215E; 022;AD;2;789582500792 0
36835414; 023;AD;2;100020055428 9
 0748414; 024;AD;2;789582501068 5
41115008; 026;AD;2;789582502809 3
7005113R1E; 026;AD;2;789003137037 0
7005110R1E; 026;AD;2;789000137341 7
41115008P; 026;AD;2;789003136509 3
31171121; 027;AD;2;100310057970 3
 0410132; 028;AD;2;789582500899 6
7005109R1E; 028;AD;2;789582532913 8
70410024; 029;AD;2;100310050712 6
31171711; 030;AD;2;100310057974 1
36212152E; 031;AD;2;789582502403 3
70590009E; 032;AD;2;789582504244 0
70820055; 033;AD;2;100140051530 8
70740373E; 034;AD;2;789582536885 4
70200604; 035;AD;2;789582503503 9
41115056E; 036;AD;2;789582502812 3
26410050; 037;AD;2;100230053806 0
7008559R1E; 038;AD;2;789003040778 7
79950271E; 038;AD;2;789582506172 4
0940737E; 039;AD;2;789582501236 8
2646683E; 040;AD;2;789582501387 7
33125416E; 041;AD;2;789582502168 1
70490409E; 042;AD;2;789582507906 4
70490409R; 042;AD;2;100010014574 7
70991108E; 043;AD;2;789582505118 3
70410114P; 044;AD;2;789003140577 5
70410114E; 044;AD;2;789582536813 7
70410115E; 045;AD;2;789582536828 1
70410115P; 045;AD;2;789003140578 2
23907250; 046;AD;2;789537200095 5
23907450; 046;AD;2;789537206227 4
33907050; 046;AD;2;470470330318 0
23907350; 046;AD;2;789537200096 2
23907650; 046;AD;2;789537206229 8
23907150; 046;AD;2;789537200102 0
70470115E; 046;AD;2;789582503929 7
23775450; 047;AD;2;789537202767 9
23775150; 047;AD;2;789537202764 8
23775250; 047;AD;2;789537202765 5
23775350; 047;AD;2;789537202766 2
23775550; 047;AD;2;789537202768 6
23775650; 047;AD;2;789537202769 3
23775050; 047;AD;2;789537202763 1
70470052; 047;AD;2;100470037096 7
SA0570097; 047;AD;2;120470033572 4
31171731; 048;AD;2;100310053307 1
70490328RE; 049;AD;2;789582508579 9
70369NA; 049;AD;2;789000238300 2
50936898; 049;AD;2;720020050662 0
33531132; 050;AD;2;789582502244 2
70325AN; 051;AD;2;130020050112 3
70325CV; 051;AD;2;130020050113 0
77245; 052;AD;2;101000050210 6
70998119; 053;AD;2;789582506114 4
70490860E; 054;AD;2;789582521908 8
70490700E; 054;AD;2;789582507918 7
70470051; 054;AD;2;100470057364 1
41636B; 055;AD;2;230020050501 4
50925990; 055;AD;2;720020050111 3
50944630; 055;AD;2;720020050117 5
70322AG; 055;AD;2;730020051194 2
70322AN; 055;AD;2;130020050079 9
3688C002E; 055;AD;2;789582502639 6
77333E; 056;AD;2;789582500322 9
4203100; 057;AD;2;100140053728 7
25904180; 058;AD;2;789537206792 7
37513551; 059;AD;2;100610058229 2
 0350016; 060;AD;2;789582500886 6
23523150; 061;AD;2;789537202100 4
23523550; 061;AD;2;789537202104 2
23523650; 061;AD;2;789537202105 9
23523250; 061;AD;2;789537202101 1
7003793C1E; 061;AD;2;789582537193 9
70470053; 061;AD;2;789582503903 7
23523050; 061;AD;2;789537202099 1
23523450; 061;AD;2;789537202103 5
SA0570050; 061;AD;2;120170033509 9
23523350; 061;AD;2;789537202102 8
23518050; 062;AD;2;789537202069 4
70470048; 062;AD;2;100470051938 0
23519550; 063;AD;2;789537202082 3
23519350; 063;AD;2;789537202080 9
23519050; 063;AD;2;789537202076 2
70470027; 063;AD;2;100470051931 1
23519150; 063;AD;2;789537202078 6
23519650; 063;AD;2;789537202083 0
23519450; 063;AD;2;789537202081 6
23519250; 063;AD;2;789537202079 3
23517050; 064;AD;2;789537202061 8
23517150; 064;AD;2;789537202062 5
70470004; 064;AD;2;100470053205 1
23517350; 064;AD;2;789537202064 9
23517250; 064;AD;2;789537202063 2
SE0570047; 064;AD;2;120470033568 7
23871450; 065;AD;2;789537206508 4
23871150; 065;AD;2;789537206493 3
 0470677; 065;AD;2;789582500911 5
23871350; 065;AD;2;789537206463 6
23871050; 065;AD;2;789537206518 3
SE0570110; 065;AD;2;120470053327 4
23871550; 065;AD;2;789537206447 6
23871650; 065;AD;2;789537206466 7
23871250; 065;AD;2;789537206494 0
23870250; 066;AD;2;789537206433 9
23870550; 066;AD;2;789537206390 5
23870150; 066;AD;2;789537206468 1
23870650; 066;AD;2;789537206391 2
23870450; 066;AD;2;789537206358 5
23870350; 066;AD;2;789537206434 6
SA0570109; 066;AD;2;120470053328 1
 0470676; 066;AD;2;100470053664 6
23870050; 066;AD;2;789537206467 4
0826264E; 067;AD;2;789582501122 4
3324E002E; 068;AD;2;100470058997 0
232540050; 068;AD;2;789004733217 1
32161113; 069;AD;2;100120058846 5
32526324; 070;AD;2;100140058883 8
70490020; 071;AD;2;100020051164 0
50906230; 071;AD;2;720020050102 1
70860012; 072;AD;2;100430050717 6
70470126E; 072;AD;2;789582507795 4
33411572E; 073;AD;2;789582502222 0
70780028E; 074;AD;2;789582504692 9
3274A003; 075;AD;2;100210051880 4
70450011; 075;AD;2;100570051928 8
36177111E; 076;AD;2;789582502401 9
70730055E; 077;AD;2;789582536831 1
33814115; 078;AD;2;100520059422 8
23524150; 079;AD;2;789537202107 3
23524050; 079;AD;2;789004735441 8
23524650; 079;AD;2;789537202112 7
7003794C1E; 079;AD;2;789582537251 6
33152153; 079;AD;2;789582502184 1
23524250; 079;AD;2;789537202108 0
723524050; 079;AD;2;789537202106 6
23524450; 079;AD;2;789537202110 3
23524350; 079;AD;2;789537202109 7
23524550; 079;AD;2;789537202111 0
3152153; 079;AD;2;100470052881 8
SE0570053; 079;AD;2;120470033569 4
23524050; 079;AD;2;789004736220 8
33152154E; 080;AD;2;789582502185 8
70410104E; 081;AD;2;789582508673 4
23668150; 082;AD;2;789537202476 0
SE0570095; 082;AD;2;120010033571 5
23668250; 082;AD;2;789537202477 7
23668650; 082;AD;2;789537202481 4
70470096E; 082;AD;2;789582537178 6
23668450; 082;AD;2;789537202479 1
23668550; 082;AD;2;789537202480 7
23668050; 082;AD;2;789537202475 3
23668350; 082;AD;2;789537202478 4
23667250; 083;AD;2;789537202470 8
23667150; 083;AD;2;789537202469 2
70470094E; 083;AD;2;789582537523 4
SA0570094; 083;AD;2;120470053329 8
23667450; 083;AD;2;789537202472 2
23667550; 083;AD;2;789537202473 9
23667350; 083;AD;2;789537202471 5
23667050; 083;AD;2;789537202468 5
23667650; 083;AD;2;789537202474 6
23666650; 084;AD;2;789537202467 8
23666150; 084;AD;2;789537202462 3
23666550; 084;AD;2;789537202466 1
70470095E; 084;AD;2;789582537850 1
SA0570093; 084;AD;2;120470033570 0
23666450; 084;AD;2;789537202465 4
23666350; 084;AD;2;789537202464 7
23666250; 084;AD;2;789537202463 0
23666050; 084;AD;2;789537202461 6
0096201E; 085;AD;2;789582500789 0
70910065E; 086;AD;2;789582508080 0
7167-620B; 087;AD;2;170790193128 8
74083E; 087;AD;2;789582500177 5
70610026; 088;AD;2;100630051583 0
74084E; 089;AD;2;789582536645 4
 0746453; 090;AD;2;789582501053 1
S4064; 091;AD;2;100010059748 5
50933316; 092;AD;2;720020050701 6
0826526E; 093;AD;2;789582501161 3
70490796R; 094;AD;2;789582519926 7
50925890; 094;AD;2;720020050686 6
 0095190; 095;AD;2;100040056945 8
33532121E; 096;AD;2;789582502246 6
GC0570009; 097;AD;2;120340033591 1
70420001E; 097;AD;2;789582503817 7
11121050; 097;AD;2;789537204539 0
11199050; 098;AD;2;789537204619 9
11199150; 098;AD;2;789003439880 7
33261752E; 098;AD;2;789582536909 7
GE0570018; 098;AD;2;120340033594 2
33261732E; 099;AD;2;789582536911 0
33261723E;100;AD;2;789582536942 4
11038050;100;AD;2;789537204519 2
GC0570005;100;AD;2;120340033590 4
70998052E;101;AD;2;789582545184 6
23906150;102;AD;2;789537200088 7
70470114E;102;AD;2;789582503928 0
23906650;102;AD;2;789537200093 1
23906350;102;AD;2;789537200090 0
23906050;102;AD;2;789537206542 8
23906250;102;AD;2;789537200089 4
23906550;102;AD;2;789537200092 4
23906450;102;AD;2;789537200091 7
70740177E;103;AD;2;789582504600 4
3314A121E;104;AD;2;789582502183 4
232539050;104;AD;2;789004733216 4
70100524;105;AD;2;100070052791 2
70650068E;106;AD;2;789582537517 3
L841;107;AD;2;789005239324 2
70650075E;107;AD;2;789582536702 4
70990476;108;AD;2;100660051419 9
70490703E;109;AD;2;789582507920 0
70490075;110;AD;2;100020050974 6
70100303;111;AD;2;789582503076 8
2417711E;112;AD;2;789582501323 5
70820083E;113;AD;2;789582504770 4
33153135E;114;AD;2;789582502191 9
11166050;115;AD;2;789537204567 3
70420005E;115;AD;2;789582503818 4
3343F002E;116;AD;2;789582536508 2
3343J002E;117;AD;2;789582538014 6
33431501E;118;AD;2;789582502236 7
11194050;118;AD;2;789537204608 3
GC0570015;118;AD;2;120340033592 8
11507050;119;AD;2;789537200731 2
70420017E;119;AD;2;789582536991 2
11195050;119;AD;2;789537204612 0
73100E;120;AD;2;789582500141 6
33817402E;121;AD;2;789582502275 6
32524134E;122;AD;2;789582502110 0
70650077E;123;AD;2;789582537064 2
70650066E;124;AD;2;789582504396 6
70650076E;125;AD;2;789582536778 9
L845;125;AD;2;789005239370 9
50945032;126;AD;2;720020050674 3
36885008E;126;AD;2;789582502635 8
0826401E;127;AD;2;789582501126 2
70820097;128;AD;2;789582504781 0
33154125;129;AD;2;100190058987 8
70780025;130;AD;2;789582504691 2
70991005;131;AD;2;100660050216 5
 0921161;132;AD;2;100240057621 4
R7003023C1E;133;AD;2;789582525906 0
70920080;133;AD;2;789582504867 1
70740065E;134;AD;2;789582504572 4
37556148E;135;AD;2;789582502689 1
70240190E;136;AD;2;789582503646 3
70998053E;137;AD;2;789582506067 3
72089E;138;AD;2;789582500089 1
0576052E;139;AD;2;789582500973 3
70470121E;13B;AD;2;789582507792 3
2645A032US;140;AD;2;789006732287 9
2645A032;140;AD;2;100670057879 4
0746051E;141;AD;2;789582501031 9
70450037;142;AD;2;789582508816 5
7005017R1E;142;AD;2;789582536808 3
70470073;142;AD;2;100610051953 3
70036NA;143;AD;2;789000236368 4
50900890;143;AD;2;720020050125 0
70490348RE;143;AD;2;789582508784 7
0640142E;145;AD;2;789582501004 3
70200631;146;AD;2;100090052310 3
70420007E;147;AD;2;789582503819 1
70610040E;148;AD;2;789582504264 8
70740079E;149;AD;2;789582504577 9
70820088E;150;AD;2;789582504775 9
93134;151;AD;2;170840053127 6
73071P;151;AD;2;789008431306 5
73071E;151;AD;2;789582500131 7
70650120;152;AD;2;100120050397 0
77371E;153;AD;2;789582500342 7
77372;153;AD;2;100670053831 6
M77372E;153;AD;2;789582519627 3
70820065;154;AD;2;100140050603 0
70940032E;155;AD;2;789582504916 6
70410049E;156;AD;2;789582503807 8
70570012;157;AD;2;100210050643 6
70490351E;158;AD;2;789582507849 4
33451801E;159;AD;2;789582502242 8
70200570;160;AD;2;100080052296 1
0826017E;162;AD;2;789582501103 3
 0490734;163;AD;2;100020054272 9
41425608E;164;AD;2;789582502893 2
33555324;165;AD;2;100010012471 1
50944730;165;AD;2;720020050118 2
70200650;166;AD;2;100080052330 2
70300004E;167;AD;2;789582503682 1
70740330E;168;AD;2;789582504619 6
4203198;170;AD;2;100800052642 0
3627P011;172;AD;2;789582502417 0
50923498;173;AD;2;789000218962 8
70361NA;173;AD;2;789000238297 5
70490385RE;173;AD;2;789582508582 9
36845114E;174;AD;2;789582502537 5
33851119E;175;AD;2;789582502292 3
70490363E;176;AD;2;789582507862 3
JL70240;176;AD;2;789000232408 1
73190E;177;AD;2;789582508290 3
50945898;178;AD;2;789000232409 8
50910098;179;AD;2;789000232410 4
70490403E;179;AD;2;789582507901 9
70035NA;179;AD;2;789000238302 6
50914198;180;AD;2;720020010689 9
70344NA;180;AD;2;789000228329 6
70041NA;180;AD;2;789000239757 3
70490381RE;180;AD;2;789582508665 9
70490381;180;AD;2;100020054056 5
70420019E;27;AD;2;789582536921 9
0410132P;28;AD;2;789003136508 6
70490861E;54A;AD;2;789000240270 3
0826526P;93;AD;2;789001440053 7
;99A;AD;2;789000040273 6
3313A012;99A;AD;2;789003437902 8
70490176; 001;AE;2;100020051168 8
3621X007;001A;AE;2;789582506975 1
77206; 002;AE;2;101000053441 1
70490692E;002A;AE;2;789582507917 0
36866207; 003;AE;2;100020051223 4
70993666E;003A;AE;2;789582508228 6
33153128; 004;AE;2;789582502188 9
1825956C1;004A;AE;2;789000137500 8
70740128E; 005;AE;2;789582504585 4
3212V003;005A;AE;2;789000436647 8
2646E013;006B;AE;2;100620051924 2
2646E018;006B;AE;2;100620057924 6
2646E007;006B;AE;2;789582507244 7
77406E; 007;AE;2;789582500361 8
3623K007;007A;AE;2;789582502412 5
77418E; 008;AE;2;789582500369 4
70100836;008A;AE;2;789582507667 4
70920103E; 009;AE;2;789582504876 3
WL108001;009A;AE;2;789002437499 6
; 010;AE;2;100020052979 9
3683H006E; 010;AE;2;789582502533 7
70100749;010A;AE;2;789582503221 2
70320CV; 011;AE;2;789000207209 8
70993618E;011A;AE;2;789582508206 4
2116087E; 012;AE;2;789582501262 7
2314J014;012A;AE;2;789582501786 8
3686T006E; 013;AE;2;789582502622 8
70993617E;013A;AE;2;789582508205 7
70490119; 014;AE;2;100020051182 4
70993623E;014A;AE;2;789582508210 1
70740740E; 015;AE;2;789582508036 7
2314F004;015A;AE;2;789582501756 1
ERR0894AE; 016;AE;2;789582506254 7
70180205;016A;AE;2;789582507691 9
ETC8193AE; 017;AE;2;789582506379 7
70100867;017A;AE;2;789582507680 3
2314J606; 018;AE;2;100040338374 7
70610065E;018A;AE;2;789582507985 9
79950260E; 019;AE;2;789582506168 7
0200080P; 020;AE;2;789000539832 4
0200080E; 020;AE;2;789582500857 6
33855114E; 021;AE;2;789582502300 5
70200088; 022;AE;2;100050051259 0
32418313E; 023;AE;2;789582502104 9
0921062E; 024;AE;2;789582545389 5
36451138; 025;AE;2;100930054147 2
70860019E; 026;AE;2;789582536693 5
70200656; 027;AE;2;100940052334 7
70998066; 028;AE;2;789582506079 6
2486A971E; 029;AE;2;789582501841 4
70780037E; 030;AE;2;789582508062 6
73010; 031;AE;2;100970050004 8
73110E; 032;AE;2;789582500144 7
ETC4069AE; 033;AE;2;789582506366 7
70820108E; 034;AE;2;789582504789 6
70100814E; 035;AE;2;789582503250 2
4133L012E; 036;AE;2;789582507120 4
79950227E; 037;AE;2;789582506164 9
70490786E; 038;AE;2;789582507942 2
70490785E; 039;AE;2;789582507941 5
3117L011; 040;AE;2;100310057987 1
70440188E; 041;AE;2;789582507151 8
37735831; 042;AE;2;100080051807 0
36853316; 043;AE;2;100020055433 3
266945; 044;AE;2;789582500566 7
70420022E; 046;AE;2;789582503825 2
GC0570056; 046;AE;2;120340023332 3
11710050; 046;AE;2;789537205218 3
FS108161E; 047;AE;2;789582506414 5
2645L013; 049;AE;2;100670057899 2
50983167; 050;AE;2;789000232406 7
3682H003E; 050;AE;2;789582502501 6
70680013; 051;AE;2;100300051392 0
70998125; 052;AE;2;100140339088 9
33555123; 053;AE;2;100080052125 4
 0206008; 054;AE;2;789582500867 5
71075E; 055;AE;2;789582500047 1
36241123; 056;AE;2;789582502413 2
77489E; 057;AE;2;789582500391 5
70500009E; 058;AE;2;789582507954 5
70200697; 059;AE;2;100080052344 9
2645L612; 060;AE;2;100670057900 5
2646E010;060A;AE;2;789582507448 9
2646E016;060A;AE;2;100620057922 2
70490378; 061;AE;2;100020054053 4
50925698; 061;AE;2;720020050780 1
70490378RE; 061;AE;2;789582508608 6
70490320RE; 062;AE;2;789582520008 6
70332NA; 062;AE;2;789000239425 1
50944532; 063;AE;2;720020050116 8
36866746E; 063;AE;2;789582502606 8
70490133; 064;AE;2;100020051175 6
ERR4883AE; 065;AE;2;789582506351 3
3116W001E; 066;AE;2;789582501970 1
70180159E; 067;AE;2;789582503314 1
ERR3283AE; 068;AE;2;789582506293 6
73031NA; 068;AE;2;789000238429 0
50948367; 068;AE;2;720020050678 1
70180196; 069;AE;2;100600332888 1
70998164E; 070;AE;2;789582506140 3
7008085R1E; 071;AE;2;789000439283 5
70740788E; 071;AE;2;789582508054 1
ERR3424AE; 072;AE;2;789582506305 6
2314F007; 073;AE;2;100040057710 1
70200653; 074;AE;2;100080052333 3
FB106111E; 075;AE;2;789582506388 9
0650204E; 076;AE;2;789582501007 4
4111A013E; 077;AE;2;789582502820 8
4111A013US; 077;AE;2;789003132288 1
70600006; 078;AE;2;100250058290 0
70490117; 079;AE;2;789582503974 7
70723AN; 079;AE;2;130020050083 6
50938030; 081;AE;2;720020050693 4
70998063E; 081;AE;2;789582506076 5
70222NAK; 082;AE;2;789854428898 4
70998064; 082;AE;2;789582506077 2
50945431; 082;AE;2;720020050694 1
70490352R; 083;AE;2;100010014555 6
70490352E; 083;AE;2;789582507850 0
36866105E; 084;AE;2;789582502594 8
73035NA; 085;AE;2;789000237772 8
ERR2378AE; 085;AE;2;789582506284 4
