Cód.Original;Baia;;Nível;Cód.Barras
70711CB RV; 047;A;2;130020050972 3
42095B; 047;A;2;230020050460 4
70012CB SC; 048;A;2;130020050457 5
315205R; 048;A;2;789582508536 2
315205; 048;A;2;100020058023 3
3152162; 049;A;2;100020058039 4
70112CB SC; 049;A;2;789000232283 4
3152162R; 049;A;2;789582508609 3
R7001572C91E; 049;A;2;789582537838 9
7008349R91;049A;A;2;789000240370 0
HS119;049A;A;2;789582508448 8
420308R; 050;A;2;789582507601 8
420309R; 051;A;2;789582508695 6
420309; 051;A;2;100020050916 6
HS079; 052;A;2;789582508425 9
HS025;052A;A;2;789582500461 5
420310; 053;A;2;100020051904 2
41600BR/7; 054;A;2;230020050450 5
423607; 054;A;2;100020050801 5
R7001565C91E; 054;A;2;789000235593 1
60914773; 055;A;2;720020050018 5
43001B; 055;A;2;230020300292 3
7005379R91E; 055;A;2;789582543864 9
73006SCR; 055;A;2;730020051121 8
423668; 056;A;2;100020052744 3
423668RE; 056;A;2;789582519927 4
423617RE; 057;A;2;789582519766 9
423617; 057;A;2;100020050692 9
70207EF3; 057;A;2;510020020073 8
423618; 058;A;2;100020052654 5
70310CBSC; 058;A;2;130020050147 5
423618RE; 058;A;2;789582519944 1
4236113RE;058A;A;2;789582519914 4
7005429R91; 059;A;2;789582532123 1
HS076;059A;A;2;789582508422 8
HS078;059B;A;2;789582508424 2
U5LB0153P; 060;A;2;789000125767 0
U5LB0383M; 060;A;2;789000240387 8
70114; 060;A;2;730020051137 9
U5LB0155; 060;A;2;100020053559 2
U5LB0153; 060;A;2;100020059751 4
P4006; 061;A;2;789582500491 2
P4057; 061;A;2;789000235892 5
R7001563C91E; 061;A;2;789582526112 4
U5LB1327E;061A;A;2;789582508630 7
S4011; 062;A;2;789582500522 3
70934730; 063;A;2;720020050054 3
HS001; 063;A;2;789582500440 0
U5LB0151; 064;A;2;100020059750 7
U5LB1164E; 064;A;2;789582508632 1
SAB80378; 065;A;2;789000041102 8
4203144R; 065;A;2;100020054425 9
635414; 066;A;2;789582500650 3
S1008; 067;A;2;789582508478 5
70914011; 067;A;2;720020050039 0
HS077;067A;A;2;789582508423 5
635485; 068;A;2;100020052617 0
635435; 069;A;2;789582500660 2
635472; 070;A;2;100020052582 1
6354110; 071;A;2;789582501570 3
635704; 072;A;2;100020053043 6
635738; 073;A;2;100020051916 5
635802E; 074;A;2;789582500711 1
70490791E; 075;A;2;789582507944 6
70490792E;075A;A;2;789582507945 3
70490793E;075B;A;2;789582507946 0
70490815E;075C;A;2;789582507949 1
36812332; 076;A;2;100020053269 0
JC57100/3; 077;A;2;120020050884 2
70490181; 077;A;2;100020051179 4
41505; 078;A;2;230020050932 6
70490742E; 078;A;2;789582508634 5
41508B; 078;A;2;230020050477 2
JC57120/4; 078;A;2;120020040521 9
50911701; 078;A;2;720020050060 4
70601U; 078;A;2;730020051130 0
410508; 078;A;2;130020031610 9
70601CA; 078;A;2;789354805385 9
70490147; 078;A;2;100020051190 9
70601SC; 078;A;2;130020050044 7
410607; 079;A;2;789000232200 1
70301OR; 079;A;2;130020050053 9
41607B; 079;A;2;230020050479 6
50965504; 079;A;2;789000215493 0
36812349; 079;A;2;170020052038 2
JC57200/4; 079;A;2;120020040520 2
70490304E; 079;A;2;789582536814 4
70001CASC; 080;A;2;789000232536 1
3681E021; 080;A;2;100020053934 7
50911509; 080;A;2;789000215473 2
70001U; 080;A;2;730020051122 5
70490417; 080;A;2;789582519770 6
70001SC; 080;A;2;789000207161 9
40508B; 080;A;2;230020050473 4
70490825E; 081;A;2;789582508743 4
50953304; 081;A;2;789000215489 3
70302OR; 081;A;2;130020050051 5
70304U; 081;A;2;730020051127 0
JC57300/4; 081;A;2;120020050260 4
7008115R1E;081A;A;2;789582549889 6
70490296E; 082;A;2;789582507802 9
40108B; 082;A;2;230020050470 3
3681E037E;082A;A;2;789582507541 7
70490297E;082A;A;2;789582507803 6
70490298E;082B;A;2;789582536780 2
7008133R1E;082C;A;2;789000240709 8
70490826E;082C;A;2;789582508762 5
36812545; 083;A;2;100020050991 3
40208; 083;A;2;230020050934 0
50971501;084A;A;2;720020050076 5
3681E024;084A;A;2;100010055416 7
70490821E;084A;A;2;789582519958 8
70002SC;084A;A;2;170020020670 5
70401CA;086A;A;2;789000238326 2
50911601;086A;A;2;720020050059 8
70490411E;086A;A;2;789582507908 8
40008B;086A;A;2;230020050471 0
70401SC;086A;A;2;130020050043 0
